,dataset,column,partition,min,max,median,unique,n_class,p_class,instances
0,ASSISTments,hint_count,A,-0.3781214227088402,8.984585431171519,-0.3781214227088402,11,0.3060490130391821,0.6939509869608179,2665658
1,ASSISTments,hint_count,B,-0.3781214227088402,5.239502689619377,-0.3781214227088402,6,0.552880075542965,0.4471199244570349,2118
2,ASSISTments,attempt_count,A,-1.2049775503459603,24.53117780594773,-0.3175239173703157,30,0.3060490130391821,0.6939509869608179,2665658
3,ASSISTments,attempt_count,B,-1.2049775503459603,5.007197880483552,-0.3175239173703157,7,0.552880075542965,0.4471199244570349,2118
4,ASSISTments,ms_first_response,A,-0.180392307044498,1016.4696367563942,-0.077740879039976,281635,0.3060490130391821,0.6939509869608179,2665658
5,ASSISTments,ms_first_response,B,-0.1569575761714471,1.4071118355370742,-0.06477870925420935,2094,0.552880075542965,0.4471199244570349,2118
6,ASSISTments,position,A,-0.2424092657331245,15.364513479634653,-0.2131451424557443,6740,0.3060490130391821,0.6939509869608179,2665658
7,ASSISTments,position,B,-0.2424092657331245,-0.2222901809799256,-0.2405802580282882,12,0.552880075542965,0.4471199244570349,2118
8,ASSISTments,overlap_time,A,-0.177076113241157,993.1914474447556,-0.0765781983942686,282296,0.3060490130391821,0.6939509869608179,2665658
9,ASSISTments,overlap_time,B,-0.1541927852126402,1.3730751659910951,-0.06418282263227905,2094,0.552880075542965,0.4471199244570349,2118
10,ASSISTments,Average_confidence(FRUSTRATED),A,-0.2566952962030948,4.99986155791872,-0.2566952962030948,667,0.3060490130391821,0.6939509869608179,2665658
11,ASSISTments,Average_confidence(FRUSTRATED),B,-0.2566952962030948,4.814690242586393,-0.2566952962030948,6,0.552880075542965,0.4471199244570349,2118
12,ASSISTments,Average_confidence(CONFUSED),A,-0.2335665635273308,4.96648519278837,-0.2335665635273308,1886,0.3060490130391821,0.6939509869608179,2665658
13,ASSISTments,Average_confidence(CONFUSED),B,-0.2335665635273308,4.96648519278837,-0.2335665635273308,13,0.552880075542965,0.4471199244570349,2118
14,ASSISTments,Average_confidence(CONCENTRATING),A,-2.7988832067645424,0.5314100335566259,0.5314100335566259,695,0.3060490130391821,0.6939509869608179,2665658
15,ASSISTments,Average_confidence(CONCENTRATING),B,-2.572451953510288,0.5314100335566259,-1.8727525920006232,9,0.552880075542965,0.4471199244570349,2118
16,ASSISTments,Average_confidence(BORED),A,-1.0154568624517897,2.499666613985718,-0.2053675190955027,8337,0.3060490130391821,0.6939509869608179,2665658
17,ASSISTments,Average_confidence(BORED),B,-1.0154568624517897,2.499666613985718,0.5416303919820795,20,0.552880075542965,0.4471199244570349,2118
18,ASSISTments,problem_type_algebra,A,0.0,1.0,1.0,2,0.3060490130391821,0.6939509869608179,2665658
19,ASSISTments,problem_type_algebra,B,0.0,1.0,0.0,2,0.552880075542965,0.4471199244570349,2118
20,ASSISTments,problem_type_fill_in_1,A,0.0,1.0,0.0,2,0.3060490130391821,0.6939509869608179,2665658
21,ASSISTments,problem_type_fill_in_1,B,0.0,1.0,0.0,2,0.552880075542965,0.4471199244570349,2118
22,ASSISTments,problem_type_choose_1,A,0.0,1.0,0.0,2,0.3060490130391821,0.6939509869608179,2665658
23,ASSISTments,problem_type_choose_1,B,0.0,1.0,0.0,2,0.552880075542965,0.4471199244570349,2118
24,ASSISTments,problem_type_choose_n,A,0.0,1.0,0.0,2,0.3060490130391821,0.6939509869608179,2665658
25,ASSISTments,problem_type_choose_n,B,0.0,0.0,0.0,1,0.552880075542965,0.4471199244570349,2118
26,ASSISTments,problem_type_rank,A,0.0,1.0,0.0,2,0.3060490130391821,0.6939509869608179,2665658
27,ASSISTments,problem_type_rank,B,0.0,0.0,0.0,1,0.552880075542965,0.4471199244570349,2118
28,ASSISTments,problem_type_open_response,A,0.0,1.0,0.0,2,0.3060490130391821,0.6939509869608179,2665658
